split,level,label,count,mapped_class
train,original_symbol,!,0,UNMAPPED
train,original_symbol,"""",0,UNMAPPED
train,original_symbol,+,0,UNMAPPED
train,original_symbol,/,1168,Q
train,original_symbol,A,1068,S
train,original_symbol,E,0,V
train,original_symbol,F,767,F
train,original_symbol,J,4,S
train,original_symbol,L,0,N
train,original_symbol,N,1200,N
train,original_symbol,Q,2,Q
train,original_symbol,R,0,N
train,original_symbol,S,2,S
train,original_symbol,V,1200,V
train,original_symbol,[,0,UNMAPPED
train,original_symbol,],0,UNMAPPED
train,original_symbol,a,126,S
train,original_symbol,e,0,N
train,original_symbol,f,30,Q
train,original_symbol,j,0,N
train,original_symbol,x,0,UNMAPPED
train,original_symbol,|,0,UNMAPPED
train,original_symbol,~,0,UNMAPPED
train,five_class,N,1200,N
train,five_class,S,1200,S
train,five_class,V,1200,V
train,five_class,F,767,F
train,five_class,Q,1200,Q
validation,original_symbol,!,0,UNMAPPED
validation,original_symbol,"""",0,UNMAPPED
validation,original_symbol,+,0,UNMAPPED
validation,original_symbol,/,0,Q
validation,original_symbol,A,119,S
validation,original_symbol,E,106,V
validation,original_symbol,F,23,F
validation,original_symbol,J,0,S
validation,original_symbol,L,1200,N
validation,original_symbol,N,0,N
validation,original_symbol,Q,4,Q
validation,original_symbol,R,0,N
validation,original_symbol,S,0,S
validation,original_symbol,V,1094,V
validation,original_symbol,[,0,UNMAPPED
validation,original_symbol,],0,UNMAPPED
validation,original_symbol,a,24,S
validation,original_symbol,e,0,N
validation,original_symbol,f,0,Q
validation,original_symbol,j,0,N
validation,original_symbol,x,0,UNMAPPED
validation,original_symbol,|,0,UNMAPPED
validation,original_symbol,~,0,UNMAPPED
validation,five_class,N,1200,N
validation,five_class,S,143,S
validation,five_class,V,1200,V
validation,five_class,F,23,F
validation,five_class,Q,4,Q
test,original_symbol,!,0,UNMAPPED
test,original_symbol,"""",0,UNMAPPED
test,original_symbol,+,0,UNMAPPED
test,original_symbol,/,758,Q
test,original_symbol,A,513,S
test,original_symbol,E,0,V
test,original_symbol,F,12,F
test,original_symbol,J,29,S
test,original_symbol,L,0,N
test,original_symbol,N,1200,N
test,original_symbol,Q,18,Q
test,original_symbol,R,0,N
test,original_symbol,S,0,S
test,original_symbol,V,1200,V
test,original_symbol,[,0,UNMAPPED
test,original_symbol,],0,UNMAPPED
test,original_symbol,a,0,S
test,original_symbol,e,0,N
test,original_symbol,f,424,Q
test,original_symbol,j,0,N
test,original_symbol,x,0,UNMAPPED
test,original_symbol,|,0,UNMAPPED
test,original_symbol,~,0,UNMAPPED
test,five_class,N,1200,N
test,five_class,S,542,S
test,five_class,V,1200,V
test,five_class,F,12,F
test,five_class,Q,1200,Q
all_records_raw_annotations,original_symbol,!,472,UNMAPPED
all_records_raw_annotations,original_symbol,"""",437,UNMAPPED
all_records_raw_annotations,original_symbol,+,1291,UNMAPPED
all_records_raw_annotations,original_symbol,/,7028,Q
all_records_raw_annotations,original_symbol,A,2546,S
all_records_raw_annotations,original_symbol,E,106,V
all_records_raw_annotations,original_symbol,F,803,F
all_records_raw_annotations,original_symbol,J,83,S
all_records_raw_annotations,original_symbol,L,8075,N
all_records_raw_annotations,original_symbol,N,75052,N
all_records_raw_annotations,original_symbol,Q,33,Q
all_records_raw_annotations,original_symbol,R,7259,N
all_records_raw_annotations,original_symbol,S,2,S
all_records_raw_annotations,original_symbol,V,7130,V
all_records_raw_annotations,original_symbol,[,6,UNMAPPED
all_records_raw_annotations,original_symbol,],6,UNMAPPED
all_records_raw_annotations,original_symbol,a,150,S
all_records_raw_annotations,original_symbol,e,16,N
all_records_raw_annotations,original_symbol,f,982,Q
all_records_raw_annotations,original_symbol,j,229,N
all_records_raw_annotations,original_symbol,x,193,UNMAPPED
all_records_raw_annotations,original_symbol,|,132,UNMAPPED
all_records_raw_annotations,original_symbol,~,616,UNMAPPED
