class,precision,recall,f1,support,auroc,auprc,experiment
N,0.0,0.0,0.0,1200,0.5761784867975626,0.29565638838059216,unweighted
S,0.6190476190476191,0.959409594095941,0.7525325615050651,542,0.9872432196082758,0.9586533196538937,unweighted
V,0.33044636908727515,0.8266666666666667,0.4721561161351737,1200,0.7279945271947642,0.6862381223213414,unweighted
F,0.0,0.0,0.0,12,0.590173829068083,0.00504233945712041,unweighted
Q,0.38235294117647056,0.0975,0.1553784860557769,1200,0.8416198375084631,0.5596004243311669,unweighted
N,0.0,0.0,0.0,1200,0.713971169036335,0.44924147921464186,class_weighting
S,0.5323741007194245,0.955719557195572,0.6838283828382838,542,0.9819293417186664,0.955271299749338,class_weighting
V,0.3306135770234987,0.8441666666666666,0.475140712945591,1200,0.7312031708417965,0.6883552665045435,class_weighting
F,0.0,0.0,0.0,12,0.6202116529856752,0.00585794829659379,class_weighting
Q,1.0,0.095,0.1735159817351598,1200,0.8285234709997744,0.6671418741893849,class_weighting
N,0.0,0.0,0.0,1200,0.7763941548183254,0.45855433602784823,weighted_random_sampler
S,0.42677824267782427,0.940959409594096,0.5872193436960277,542,0.9641069334281381,0.8991369072340839,weighted_random_sampler
V,0.28807822489657764,0.6383333333333333,0.39699403990671156,1200,0.6816426878808395,0.6904100558000257,weighted_random_sampler
F,0.0,0.0,0.0,12,0.6195678416224046,0.0040220198036075615,weighted_random_sampler
Q,1.0,0.06583333333333333,0.1235340109460516,1200,0.8136443522906793,0.72652941689362,weighted_random_sampler
N,0.0,0.0,0.0,1200,0.36103898668472123,0.21832313532871858,focal_loss
S,0.5646551724137931,0.966789667896679,0.7129251700680272,542,0.9859912428027935,0.9515442713692361,focal_loss
V,0.36906290115532736,0.9583333333333334,0.5329008341056534,1200,0.7976610810200857,0.7253111575287111,focal_loss
F,0.0,0.0,0.0,12,0.556615161757605,0.003688534091305735,focal_loss
Q,0.620253164556962,0.04083333333333333,0.0766223612197029,1200,0.8339663732791696,0.5878754575278945,focal_loss
N,0.0,0.0,0.0,1200,0.7488586097946287,0.42335949564791225,controlled_augmentation
S,0.7424460431654676,0.9520295202952029,0.8342764753435732,542,0.986674185678734,0.9565151480676369,controlled_augmentation
V,0.3492822966507177,0.9733333333333334,0.5140845070422535,1200,0.8379605337395621,0.7574013899410525,controlled_augmentation
F,0.0,0.0,0.0,12,0.5775591501690005,0.0038066638372133855,controlled_augmentation
Q,1.0,0.056666666666666664,0.10725552050473186,1200,0.8425854773188897,0.7022032427019628,controlled_augmentation
N,0.0,0.0,0.0,1200,0.7491452268111036,0.46153372539183696,context_4
S,0.4305555555555556,0.9723247232472325,0.5968289920724802,542,0.9816657676543543,0.9465558933042666,context_4
