class,precision,recall,f1,support,auroc,auprc,model
N,0.05,0.009166666666666667,0.015492957746478873,1200,0.4630618088467615,0.24751306281279167,CNN_morph_RNN
S,0.06796690307328605,0.21217712177121772,0.10295434198746643,542,0.27093779243440275,0.08368614306057617,CNN_morph_RNN
V,0.5388272583201268,0.2833333333333333,0.3713817586018569,1200,0.8437003498081697,0.5645364184287245,CNN_morph_RNN
F,0.002622950819672131,0.3333333333333333,0.00520494469746259,12,0.6180186705295349,0.007649461140701575,CNN_morph_RNN
Q,0.8488372093023255,0.060833333333333336,0.11353032659409021,1200,0.864183592868427,0.5531101473545645,CNN_morph_RNN
N,0.0,0.0,0.0,1200,0.7045799480929813,0.39612593437494925,CNN_morph_BiLSTM
S,0.003352891869237217,0.007380073800738007,0.004610951008645533,542,0.22959293131137293,0.07982592603959429,CNN_morph_BiLSTM
V,0.6068904593639576,0.5725,0.5891938250428816,1200,0.8138684834123222,0.5448377211379198,CNN_morph_BiLSTM
F,0.0026298487836949377,0.3333333333333333,0.005218525766470972,12,0.522372444873652,0.003043802906273348,CNN_morph_BiLSTM
Q,0.31901840490797545,0.043333333333333335,0.07630227439471754,1200,0.5191477657413677,0.2985615542041389,CNN_morph_BiLSTM
N,0.0,0.0,0.0,1200,0.7096894041976981,0.40904243212456637,CNN_morph_BiLSTM_Attention
S,0.008090614886731391,0.01845018450184502,0.01124859392575928,542,0.24854421301688098,0.08204843136935057,CNN_morph_BiLSTM_Attention
V,0.5747702589807853,0.5733333333333334,0.5740508969545265,1200,0.84703650417513,0.5583906380765593,CNN_morph_BiLSTM_Attention
F,0.0034770514603616135,0.4166666666666667,0.006896551724137931,12,0.6009375502977627,0.003636521034181122,CNN_morph_BiLSTM_Attention
Q,0.22660098522167488,0.03833333333333333,0.06557377049180328,1200,0.6308858045587904,0.34036770891175316,CNN_morph_BiLSTM_Attention
N,0.0,0.0,0.0,1200,0.580031031369894,0.3149953434556328,baseline_rr_morphology
S,0.41956882255389716,0.933579335793358,0.5789473684210527,542,0.9556577500990957,0.862463130853795,baseline_rr_morphology
V,0.6279569892473118,0.9733333333333334,0.7633986928104575,1200,0.9665084066802077,0.9249030180096641,baseline_rr_morphology
F,0.0,0.0,0.0,12,0.5988652824722356,0.004513069396569591,baseline_rr_morphology
Q,0.9663573085846868,0.6941666666666667,0.8079534432589719,1200,0.966928740690589,0.9442476214684764,baseline_rr_morphology
