class,precision,recall,f1,support,auroc,auprc,experiment
N,0.0,0.0,0.0,1200,0.6664786447754458,0.38002543746389394,multitask_lambda_0.1
S,0.3086854460093897,0.9704797047970479,0.4683882457702582,542,0.938697065542084,0.7931369891809515,multitask_lambda_0.1
V,0.6802999318336742,0.8316666666666667,0.7484064491938508,1200,0.9212003498081698,0.8271907946676309,multitask_lambda_0.1
F,0.0,0.0,0.0,12,0.4935216481570899,0.0032112236086071157,multitask_lambda_0.1
Q,0.9851351351351352,0.6075,0.7515463917525773,1200,0.9245765628526291,0.898229124102086,multitask_lambda_0.1
N,0.0,0.0,0.0,1200,0.6037911870909501,0.3557023672397249,multitask_lambda_0.25
S,0.420746887966805,0.9354243542435424,0.5804235832856325,542,0.9670593715903938,0.9262961900474254,multitask_lambda_0.25
V,0.5172024816694868,0.7641666666666667,0.6168853010427178,1200,0.866302048070413,0.7818203740029299,multitask_lambda_0.25
F,0.005934718100890208,0.16666666666666666,0.011461318051575931,12,0.5681836471913729,0.004795525029190803,multitask_lambda_0.25
Q,0.9606674612634089,0.6716666666666666,0.790583619421285,1200,0.9560542202663055,0.9337508938763897,multitask_lambda_0.25
N,0.0,0.0,0.0,1200,0.4863112164296998,0.2847588115428847,multitask_lambda_0.5
S,0.518974358974359,0.933579335793358,0.6671061305207646,542,0.971133531933326,0.9305309920236914,multitask_lambda_0.5
V,0.497166409067491,0.8041666666666667,0.6144539955428208,1200,0.847988603024148,0.7596232185343836,multitask_lambda_0.5
F,0.005434782608695652,0.16666666666666666,0.010526315789473684,12,0.5882222758731692,0.0048515039769266455,multitask_lambda_0.5
Q,0.9528735632183908,0.6908333333333333,0.8009661835748793,1200,0.9610206499661477,0.9329060945798433,multitask_lambda_0.5
