class,precision,recall,f1,support,auroc,auprc,experiment
N,0.0,0.0,0.0,1200,0.5567548239675018,0.33160889284726724,current_class_balanced
S,0.48954372623574144,0.9501845018450185,0.6461731493099122,542,0.9785401674614753,0.9381341773970036,current_class_balanced
V,0.4345526663728515,0.8216666666666667,0.5684635341597002,1200,0.8362838524035205,0.7589925787373816,current_class_balanced
F,0.0,0.0,0.0,12,0.6136930629325608,0.0052286848127401885,current_class_balanced
Q,1.0,0.655,0.7915407854984894,1200,0.9677677160911758,0.9476458281331487,current_class_balanced
N,0.0,0.0,0.0,1200,0.595430207628075,0.3540271384712025,original_symbol_balanced_sampler
S,0.2562838836865451,0.959409594095941,0.4045118630882925,542,0.9491950774989477,0.8905561113263148,original_symbol_balanced_sampler
V,0.5886752136752137,0.9183333333333333,0.7174479166666666,1200,0.9132276856240126,0.7684207004880577,original_symbol_balanced_sampler
F,0.0,0.0,0.0,12,0.6112787703202962,0.003959559277300215,original_symbol_balanced_sampler
Q,0.990990990990991,0.18333333333333332,0.30942334739803096,1200,0.8228300609343264,0.744901995500751,original_symbol_balanced_sampler
N,1.0,0.0016666666666666668,0.0033277870216306157,1200,0.8888783570300158,0.8174192706136795,original_symbol_aware_loss
S,0.1966064182958318,0.9833948339483395,0.32769750999077774,542,0.9306846183079771,0.813798749671223,original_symbol_aware_loss
V,0.15037593984962405,0.016666666666666666,0.030007501875468866,1200,0.4139466260437825,0.23364296852464533,original_symbol_aware_loss
F,0.0,0.0,0.0,12,0.5511830033800097,0.003267437958180944,original_symbol_aware_loss
Q,0.5823255813953488,0.5216666666666666,0.5503296703296703,1200,0.8172317197020988,0.481511544835734,original_symbol_aware_loss
