model,corruption,MacroF1,MacroAUPRC,MacroAUROC,BalancedAccuracy,Accuracy,N_recall,F_recall,MacroF1_delta
baseline,clean,0.40123549379362033,0.5963220323855083,0.790607924571247,0.485370233702337,0.5505536831969187,0.0,0.0,0.0
baseline,gaussian_noise,0.40163980946575484,0.5962924077900393,0.7903865478935751,0.4860369003690037,0.5515166104959076,0.0,0.0,0.00040431567213450315
baseline,baseline_wander,0.4231446744098502,0.5933000547398743,0.7871691985146846,0.5017755227552275,0.5777563793933558,0.0,0.0,0.021909180616229873
baseline,amplitude_scaling,0.3869132993571334,0.5970275240629287,0.7926331844472941,0.4724772447724478,0.5310544053923929,0.0,0.0,-0.014322194436486912
baseline,missing_samples,0.40233980850102197,0.4288801831188551,0.7263383279438969,0.46310332103321034,0.5642753972075109,0.0,0.0,0.0011043147074016324
phase3_final,clean,0.40123549379362033,0.5963220323855083,0.790607924571247,0.485370233702337,0.5505536831969187,0.0,0.0,0.0
phase3_final,gaussian_noise,0.40163980946575484,0.5962924077900393,0.7903865478935751,0.4860369003690037,0.5515166104959076,0.0,0.0,0.00040431567213450315
phase3_final,baseline_wander,0.4231446744098502,0.5933000547398743,0.7871691985146846,0.5017755227552275,0.5777563793933558,0.0,0.0,0.021909180616229873
phase3_final,amplitude_scaling,0.3869132993571334,0.5970275240629287,0.7926331844472941,0.4724772447724478,0.5310544053923929,0.0,0.0,-0.014322194436486912
phase3_final,missing_samples,0.40233980850102197,0.4288801831188551,0.7263383279438969,0.46310332103321034,0.5642753972075109,0.0,0.0,0.0011043147074016324
