record,MacroF1,MacroAUROC,MacroAUPRC,n_beats,recall_N,recall_S,recall_V,recall_F,recall_Q,class_count_N,class_count_S,class_count_V,class_count_F,class_count_Q,original_symbols
104,0.16003975883129962,0.7374687409091267,0.3745615110394453,1365,0.0,0.0,1.0,0.0,0.655,163,0,2,0,1200,"{""/"": 758, ""f"": 424, ""Q"": 18, ""N"": 163, ""V"": 2}"
108,0.008340613449815197,0.6097735493637699,0.3181915869315108,1060,0.0,0.25,0.8235294117647058,0.0,0.0,1037,4,17,2,0,"{""N"": 1037, ""V"": 17, ""F"": 2, ""A"": 4}"
109,0.192,0.7894736842105263,0.5458641494061895,40,0.0,0.0,0.9473684210526315,0.0,0.0,0,0,38,2,0,"{""F"": 2, ""V"": 38}"
119,0.1440922190201729,,0.9999999999999999,444,0.0,0.0,0.5630630630630631,0.0,0.0,0,0,444,0,0,"{""V"": 444}"
122,,,,0,,,,,,0,0,0,0,0,{}
124,0.2800076672417098,0.8401341788438562,0.6194858564204154,83,0.0,0.41935483870967744,1.0,0.0,0.0,0,31,47,5,0,"{""J"": 29, ""V"": 47, ""F"": 5, ""A"": 2}"
200,0.3337477954144621,0.9850973792971501,0.7858350993453126,684,0.0,0.8,0.9769938650306749,0.0,0.0,0,30,652,2,0,"{""V"": 652, ""A"": 30, ""F"": 2}"
209,0.2,,1.0,383,0.0,1.0,0.0,0.0,0.0,0,383,0,0,0,"{""A"": 383}"
214,0.0,,1.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,"{""F"": 1}"
220,0.2,,0.9999999999999998,94,0.0,1.0,0.0,0.0,0.0,0,94,0,0,0,"{""A"": 94}"
