original_symbol,mapped_class,train_count,validation_count,test_count,test_error_rate,per_symbol_f1,per_symbol_recall
!,UNMAPPED,0,0,0,,,
"""",UNMAPPED,0,0,0,,,
+,UNMAPPED,0,0,0,,,
/,Q,1168,0,758,0.1517150395778364,0.9179157744468237,0.8482849604221636
A,S,1068,119,513,0.01949317738791423,0.9901574803149606,0.9805068226120858
E,V,0,106,0,,,
F,F,767,23,12,1.0,0.0,0.0
J,S,4,0,29,0.5862068965517241,0.5853658536585366,0.41379310344827586
L,N,0,1200,0,,,
N,N,1200,0,1200,1.0,0.0,0.0
Q,Q,2,4,18,0.9444444444444444,0.10526315789473684,0.05555555555555555
R,N,0,0,0,,,
S,S,2,0,0,,,
V,V,1200,1094,1200,0.17833333333333334,0.9021043000914913,0.8216666666666667
[,UNMAPPED,0,0,0,,,
],UNMAPPED,0,0,0,,,
a,S,126,24,0,,,
e,N,0,0,0,,,
f,Q,30,0,424,0.6650943396226415,0.5017667844522968,0.33490566037735847
j,N,0,0,0,,,
x,UNMAPPED,0,0,0,,,
|,UNMAPPED,0,0,0,,,
~,UNMAPPED,0,0,0,,,
